#nu GHz
#S_nu Jy
#deltaS_nu Jy
#epoch
#reference
nu	S_nu	DeltaS_nu
1.117	990.0	59.4
1.304	980.0	58.8
1.4	930.0	46.5
1.765	940.0	56.4	
2.0	840.0	50.4
2.29	810.0	48.6
2.74	795.0	47.7
3.15	700.0	24.5
3.38	718.0	43.1
3.96	646.0	38.8
4.08	687.0	20.6
5.0	680	34		
6.66	577.2	20.2	
8.25	563.0	22.5	
13.49	524.0	19.9	
15.5	461	24	
16.0	447.0	15.6		
22.285	397	16.0	
22.5	395	7		
31.41	387	72	
32.8	340	5	
34.9	340	68		
40.4	323	8.0	
60.2	294	10.0	
92.9	285	16.0		
111.1	290	35		
143	231	32	
217	182	38	
230	260	52	
250	204	32		
300	194.0	19.4		
300	131	42		
300	300	80		
347	190	19		
353	186	34	
545	237	68		
750	158	63	
1000	135	41		
3000	184	13		
5000	210	8		
12e3	67	4		
25e3	37	1		
3.246e5	6.57	0.66		
4.651e5	4.78	0.48		
5.593e5	4.23	0.42		
7.878e5	3.22	0.32		
